,ID,Education,GradorPost,Marital_Status,Relationship,Dt_Customer,days,Year_Birth,Age,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,SumAcceptedCmp
0,5524,Graduation,Undergrad Degree,Single,Single,2012-04-09,971,1957,57,58138.0,0,0,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,1
1,2174,Graduation,Undergrad Degree,Single,Single,2014-08-03,125,1954,60,46344.0,1,1,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,0
2,4141,Graduation,Undergrad Degree,Together,Relationship,2013-08-21,472,1965,49,71613.0,0,0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,0
3,6182,Graduation,Undergrad Degree,Together,Relationship,2014-10-02,65,1984,30,26646.0,1,0,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,0
4,5324,PhD,PostGrad Degree,Married,Relationship,2014-01-19,321,1981,33,58293.0,1,0,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,0
5,7446,Master,PostGrad Degree,Together,Relationship,2013-09-09,453,1967,47,62513.0,0,1,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,0
6,965,Graduation,Undergrad Degree,Divorced,Single,2012-11-13,753,1971,43,55635.0,0,1,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,0
7,6177,PhD,PostGrad Degree,Married,Relationship,2013-08-05,488,1985,29,33454.0,1,0,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,0
8,4855,PhD,PostGrad Degree,Together,Relationship,2013-06-06,548,1974,40,30351.0,1,0,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,1
9,5899,PhD,PostGrad Degree,Together,Relationship,2014-03-13,268,1950,64,5648.0,1,1,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,1
10,1994,Graduation,Undergrad Degree,Married,Relationship,2013-11-15,386,1983,31,52247.25135379061,1,0,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,0,0
11,387,Basic,Undergrad Degree,Married,Relationship,2012-11-13,753,1976,38,7500.0,0,0,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,0
12,2125,Graduation,Undergrad Degree,Divorced,Single,2013-11-15,386,1959,55,63033.0,0,0,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,0
13,8180,Master,PostGrad Degree,Divorced,Single,2013-11-15,386,1952,62,59354.0,1,1,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,0
14,2569,Graduation,Undergrad Degree,Married,Relationship,2012-10-10,787,1987,27,17323.0,0,0,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,0
15,2114,PhD,PostGrad Degree,Single,Single,2012-11-24,742,1946,68,82800.0,0,0,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,3
16,9736,Graduation,Undergrad Degree,Married,Relationship,2012-12-24,712,1980,34,41850.0,1,1,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,0
17,4939,Graduation,Undergrad Degree,Together,Relationship,2012-08-31,827,1946,68,37760.0,0,0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,0
18,6565,Master,PostGrad Degree,Married,Relationship,2013-03-28,618,1949,65,76995.0,0,1,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,1
19,2278,2n Cycle,PostGrad Degree,Single,Single,2012-03-11,1000,1985,29,33812.0,1,0,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,0
20,9360,Graduation,Undergrad Degree,Married,Relationship,2012-08-08,850,1982,32,37040.0,0,0,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,0
21,5376,Graduation,Undergrad Degree,Married,Relationship,2013-06-01,553,1979,35,2447.0,1,0,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0,0
22,1993,PhD,PostGrad Degree,Married,Relationship,2012-12-23,713,1949,65,58607.0,0,1,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,1
23,4047,PhD,PostGrad Degree,Married,Relationship,2014-11-01,35,1954,60,65324.0,0,1,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,0
24,1409,Graduation,Undergrad Degree,Together,Relationship,2013-03-18,628,1951,63,40689.0,0,1,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,0
25,7892,Graduation,Undergrad Degree,Single,Single,2013-02-01,673,1969,45,18589.0,0,0,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,0
26,2404,Graduation,Undergrad Degree,Married,Relationship,2013-05-27,558,1976,38,53359.0,1,1,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,0
27,5255,Graduation,Undergrad Degree,Single,Single,2013-02-20,654,1986,28,52247.25135379061,1,0,19,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,0,0
28,9422,Graduation,Undergrad Degree,Married,Relationship,2013-05-31,554,1989,25,38360.0,1,0,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,0
29,1966,PhD,PostGrad Degree,Married,Relationship,2013-11-22,379,1965,49,84618.0,0,0,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,1
30,6864,Master,PostGrad Degree,Divorced,Single,2014-05-22,198,1989,25,10979.0,0,0,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,0
31,3033,Master,PostGrad Degree,Together,Relationship,2013-11-05,396,1963,51,38620.0,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,0
32,5710,Graduation,Undergrad Degree,Together,Relationship,2012-10-10,787,1970,44,40548.0,0,1,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,1
33,7373,PhD,PostGrad Degree,Divorced,Single,2012-10-29,768,1952,62,46610.0,0,2,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,1
34,8755,Master,PostGrad Degree,Married,Relationship,2013-02-20,654,1946,68,68657.0,0,0,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,0
