GradorPost,Relationship,Age,days_enrolled,kidsteenHome,Income,Total_Spent,NumAllPurchases,AverageCheck,NumWebVisitsMonth,ShareDealsPurchases,SumAcceptedOffers,cluster
Undergrad Degree,Single,57,971,0,58138.0,1617,22,73.5,7,13.6,1,1
Undergrad Degree,Single,60,125,2,46344.0,27,4,6.8,5,50.0,0,2
Undergrad Degree,Relationship,49,472,0,71613.0,776,20,38.8,4,5.0,0,3
Undergrad Degree,Relationship,30,65,1,26646.0,53,6,8.8,6,33.3,0,2
PostGrad Degree,Relationship,33,321,1,58293.0,422,14,30.1,5,35.7,0,2
PostGrad Degree,Relationship,47,453,1,62513.0,716,20,35.8,6,10.0,0,3
Undergrad Degree,Single,43,753,1,55635.0,590,17,34.7,6,23.5,0,3
PostGrad Degree,Relationship,29,488,1,33454.0,169,8,21.1,8,25.0,0,2
PostGrad Degree,Relationship,40,548,1,30351.0,46,5,9.2,9,20.0,1,0
PostGrad Degree,Relationship,64,268,2,5648.0,49,1,49.0,20,100.0,1,2
Undergrad Degree,Relationship,31,386,1,52247.25135379061,19,3,6.3,7,33.3,0,2
Undergrad Degree,Relationship,38,753,0,7500.0,61,5,12.2,8,20.0,0,0
Undergrad Degree,Single,55,386,0,63033.0,1102,15,73.5,2,6.7,0,1
PostGrad Degree,Single,62,386,2,59354.0,310,12,25.8,6,25.0,0,2
Undergrad Degree,Relationship,27,787,0,17323.0,46,4,11.5,8,25.0,0,0
PostGrad Degree,Single,68,742,0,82800.0,1315,25,52.6,3,4.0,3,3
Undergrad Degree,Relationship,34,712,2,41850.0,96,6,16.0,8,50.0,0,0
Undergrad Degree,Relationship,68,827,0,37760.0,317,11,28.8,7,18.2,0,0
PostGrad Degree,Relationship,65,618,1,76995.0,1782,24,74.2,5,8.3,1,1
PostGrad Degree,Single,29,1000,1,33812.0,133,6,22.2,6,33.3,0,0
Undergrad Degree,Relationship,32,850,0,37040.0,316,11,28.7,8,9.1,0,0
Undergrad Degree,Relationship,35,553,1,2447.0,1730,28,61.8,1,53.6,0,1
PostGrad Degree,Relationship,65,713,1,58607.0,972,14,69.4,8,21.4,1,1
PostGrad Degree,Relationship,60,35,1,65324.0,544,17,32.0,4,17.6,0,2
Undergrad Degree,Relationship,63,628,1,40689.0,444,13,34.2,8,53.8,0,0
Undergrad Degree,Single,45,673,0,18589.0,75,6,12.5,7,33.3,0,0
Undergrad Degree,Relationship,38,558,2,53359.0,257,10,25.7,7,40.0,0,0
Undergrad Degree,Single,28,654,1,52247.25135379061,637,27,23.6,1,0.0,0,3
Undergrad Degree,Relationship,25,554,1,38360.0,131,7,18.7,3,28.6,0,0
