,GradorPost,Relationship,Age,days,kidsteenHome,Income,MntTotal,NumAllPurchases,AverageCheck,NumWebVisitsMonth,ShareDealsPurchases,SumAcceptedCmp,Education,Marital_Status,Dt_Customer,Year_Birth,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,cluster
0,Undergrad Degree,Single,57,971,0,58138.0,1617,22,73.5,7,13.6,1,Graduation,Single,2012-04-09,1957,0,0,58,635,88,546,172,88,88,3,8,10,4,0,0,0,0,0,0,1,1
1,Undergrad Degree,Single,60,125,2,46344.0,27,4,6.8,5,50.0,0,Graduation,Single,2014-08-03,1954,1,1,38,11,1,6,2,1,6,2,1,1,2,0,0,0,0,0,0,0,2
2,Undergrad Degree,Relationship,49,472,0,71613.0,776,20,38.8,4,5.0,0,Graduation,Together,2013-08-21,1965,0,0,26,426,49,127,111,21,42,1,8,2,10,0,0,0,0,0,0,0,3
3,Undergrad Degree,Relationship,30,65,1,26646.0,53,6,8.8,6,33.3,0,Graduation,Together,2014-10-02,1984,1,0,26,11,4,20,10,3,5,2,2,0,4,0,0,0,0,0,0,0,2
4,PostGrad Degree,Relationship,33,321,1,58293.0,422,14,30.1,5,35.7,0,PhD,Married,2014-01-19,1981,1,0,94,173,43,118,46,27,15,5,5,3,6,0,0,0,0,0,0,0,2
5,PostGrad Degree,Relationship,47,453,1,62513.0,716,20,35.8,6,10.0,0,Master,Together,2013-09-09,1967,0,1,16,520,42,98,0,42,14,2,6,4,10,0,0,0,0,0,0,0,3
6,Undergrad Degree,Single,43,753,1,55635.0,590,17,34.7,6,23.5,0,Graduation,Divorced,2012-11-13,1971,0,1,34,235,65,164,50,49,27,4,7,3,7,0,0,0,0,0,0,0,3
7,PostGrad Degree,Relationship,29,488,1,33454.0,169,8,21.1,8,25.0,0,PhD,Married,2013-08-05,1985,1,0,32,76,10,56,3,1,23,2,4,0,4,0,0,0,0,0,0,0,2
8,PostGrad Degree,Relationship,40,548,1,30351.0,46,5,9.2,9,20.0,1,PhD,Together,2013-06-06,1974,1,0,19,14,0,24,3,3,2,1,3,0,2,0,0,0,0,0,0,1,0
9,PostGrad Degree,Relationship,64,268,2,5648.0,49,1,49.0,20,100.0,1,PhD,Together,2014-03-13,1950,1,1,68,28,0,6,1,1,13,1,1,0,0,1,0,0,0,0,0,0,2
10,Undergrad Degree,Relationship,31,386,1,52247.25135379061,19,3,6.3,7,33.3,0,Graduation,Married,2013-11-15,1983,1,0,11,5,5,6,0,2,1,1,1,0,2,0,0,0,0,0,0,0,2
11,Undergrad Degree,Relationship,38,753,0,7500.0,61,5,12.2,8,20.0,0,Basic,Married,2012-11-13,1976,0,0,59,6,16,11,11,1,16,1,2,0,3,0,0,0,0,0,0,0,0
12,Undergrad Degree,Single,55,386,0,63033.0,1102,15,73.5,2,6.7,0,Graduation,Divorced,2013-11-15,1959,0,0,82,194,61,480,225,112,30,1,3,4,8,0,0,0,0,0,0,0,1
13,PostGrad Degree,Single,62,386,2,59354.0,310,12,25.8,6,25.0,0,Master,Divorced,2013-11-15,1952,1,1,53,233,2,53,3,5,14,3,6,1,5,0,0,0,0,0,0,0,2
14,Undergrad Degree,Relationship,27,787,0,17323.0,46,4,11.5,8,25.0,0,Graduation,Married,2012-10-10,1987,0,0,38,3,14,17,6,1,5,1,1,0,3,0,0,0,0,0,0,0,0
15,PostGrad Degree,Single,68,742,0,82800.0,1315,25,52.6,3,4.0,3,PhD,Single,2012-11-24,1946,0,0,23,1006,22,115,59,68,45,1,7,6,12,0,0,1,1,0,0,1,3
16,Undergrad Degree,Relationship,34,712,2,41850.0,96,6,16.0,8,50.0,0,Graduation,Married,2012-12-24,1980,1,1,51,53,5,19,2,13,4,3,3,0,3,0,0,0,0,0,0,0,0
17,Undergrad Degree,Relationship,68,827,0,37760.0,317,11,28.8,7,18.2,0,Graduation,Together,2012-08-31,1946,0,0,20,84,5,38,150,12,28,2,4,1,6,0,0,0,0,0,0,0,0
18,PostGrad Degree,Relationship,65,618,1,76995.0,1782,24,74.2,5,8.3,1,Master,Married,2013-03-28,1949,0,1,91,1012,80,498,0,16,176,2,11,4,9,0,0,0,1,0,0,0,1
19,PostGrad Degree,Single,29,1000,1,33812.0,133,6,22.2,6,33.3,0,2n Cycle,Single,2012-03-11,1985,1,0,86,4,17,19,30,24,39,2,2,1,3,0,0,0,0,0,0,0,0
20,Undergrad Degree,Relationship,32,850,0,37040.0,316,11,28.7,8,9.1,0,Graduation,Married,2012-08-08,1982,0,0,41,86,2,73,69,38,48,1,4,2,5,0,0,0,0,0,0,0,0
21,Undergrad Degree,Relationship,35,553,1,2447.0,1730,28,61.8,1,53.6,0,Graduation,Married,2013-06-01,1979,1,0,42,1,1,1725,1,1,1,15,0,28,0,0,0,0,0,0,0,0,1
22,PostGrad Degree,Relationship,65,713,1,58607.0,972,14,69.4,8,21.4,1,PhD,Married,2012-12-23,1949,0,1,63,867,0,86,0,0,19,3,2,3,9,0,1,0,0,0,0,0,1
23,PostGrad Degree,Relationship,60,35,1,65324.0,544,17,32.0,4,17.6,0,PhD,Married,2014-11-01,1954,0,1,0,384,0,102,21,32,5,3,6,2,9,0,0,0,0,0,0,0,2
24,Undergrad Degree,Relationship,63,628,1,40689.0,444,13,34.2,8,53.8,0,Graduation,Together,2013-03-18,1951,0,1,69,270,3,27,39,6,99,7,7,1,5,0,0,0,0,0,0,0,0
25,Undergrad Degree,Single,45,673,0,18589.0,75,6,12.5,7,33.3,0,Graduation,Single,2013-02-01,1969,0,0,89,6,4,25,15,12,13,2,2,1,3,0,0,0,0,0,0,0,0
26,Undergrad Degree,Relationship,38,558,2,53359.0,257,10,25.7,7,40.0,0,Graduation,Married,2013-05-27,1976,1,1,4,173,4,30,3,6,41,4,5,1,4,0,0,0,0,0,0,0,0
27,Undergrad Degree,Single,28,654,1,52247.25135379061,637,27,23.6,1,0.0,0,Graduation,Single,2013-02-20,1986,1,0,19,5,1,3,3,263,362,0,27,0,0,0,0,0,0,0,0,0,3
28,Undergrad Degree,Relationship,25,554,1,38360.0,131,7,18.7,3,28.6,0,Graduation,Married,2013-05-31,1989,1,0,26,36,2,42,20,21,10,2,2,1,4,0,0,0,0,0,0,0,0
29,PostGrad Degree,Relationship,49,379,0,84618.0,1672,25,66.9,2,4.0,1,PhD,Married,2013-11-22,1965,0,0,96,684,100,801,21,66,0,1,6,9,10,0,0,1,0,0,0,0,1
30,PostGrad Degree,Single,25,198,0,10979.0,30,6,5.0,5,33.3,0,Master,Divorced,2014-05-22,1989,0,0,34,8,4,10,2,2,4,2,3,0,3,0,0,0,0,0,0,0,2
31,PostGrad Degree,Relationship,51,396,0,38620.0,318,10,31.8,3,10.0,0,Master,Together,2013-11-05,1963,0,0,56,112,17,44,34,22,89,1,2,5,3,0,0,0,0,0,0,0,2
32,Undergrad Degree,Relationship,44,787,1,40548.0,120,7,17.1,5,28.6,1,Graduation,Together,2012-10-10,1970,0,1,31,110,0,5,2,0,3,2,2,1,4,0,1,0,0,0,0,0,0
